и,33
не,21
на,11
поросенок,10
дом,8
что,8
в,8
волк,8
он,7
к,6
домик,6
по,5
так,5
построить,5
а,5
из,5
я,5
с,5
от,5
три,4
поросенка,4
только,4
но,4
как,4
—,4
поросята,4
опушке,3
леса,3
вот,3
поросят,3
хижину,3
соломы,3
увидев,3
уже,3
ему,3
даже,3
они,2
лето,2
стало,2
младший,2
крепкий,2
о,2
старший,2
побыстрее,2
хочу,2
нем,2
средний,2
зимой,2
веток,2
тот,2
сейчас,2
младшенький,2
был,2
хотелось,2
быстро,2
несколько,2
ничего,2
домика,2
вам,2
побежал,2
же,2
дверь,2
рассвирепел,2
всех,2
начал,2
дуть,2
им,2
очень,2
через,2
раз,2
–,2
прямо,2
трубу,2
читать,1
онлайн,1
автор,1
английская,1
народная,1
примерное,1
время,1
прочтения,1
4,1
мин,1
летним,1
утром,1
резвились,1
прыгали,1
лужам,1
пели,1
беззаботно,1
будто,1
никогда,1
закончится,1
вечерам,1
холодать,1
братья,1
мерзли,1
самый,1
предложил,1
теплый,1
мысль,1
том,1
пора,1
прекращать,1
игры,1
расстроила,1
двух,1
других,1
строительство,1
было,1
решено,1
отложить,1
попозже,1
когда,1
холод,1
стал,1
совсем,1
нестерпим,1
началась,1
наша,1
история,1
торопился,1
вернуться,1
играм,1
построил,1
маленькую,1
веселиться,1
чтобы,1
танцевать,1
скакать,1
играться,1
ни,1
чем,1
волноваться,1
сперва,1
тоже,1
хотел,1
побоялся,1
замерзнет,1
соорудил,1
крепких,1
старшего,1
готов,1
прыгает,1
солнышке,1
поторопился,1
просто-напросто,1
накидал,1
сверху,1
листья,1
мох,1
запел,1
подошло,1
концу,1
грустить,1
мне,1
лицу,1
смогу,1
тут,1
спать,1
играть,1
самым,1
ответственным,1
приближением,1
холодов,1
до,1
игр,1
да,1
красивый,1
обязательно,1
теплой,1
печкой,1
работа,1
кипела,1
каменный,1
нелегко,1
тем,1
более,1
без,1
помощи,1
шли,1
дни,1
рос,1
крыша,1
была,1
готова,1
постелька,1
ярко-желтых,1
листьев,1
счастливый,1
мог,1
нарадоваться,1
свой,1
сочинил,1
песенку,1
строил,1
безопасно,1
будет,1
нету,1
никаких,1
забот,1
у,1
того,1
кто,1
здесь,1
живет,1
успела,1
первая,1
снежинка,1
коснуться,1
земли,1
окраине,1
посеревшего,1
холода,1
сырости,1
показался,1
угрюмый,1
дней,1
ел,1
потому,1
страшно,1
зол,1
усмехнулся,1
подумал,1
ох,1
уж,1
эти,1
маленькие,1
глупые,1
помогут,1
ваши,1
жалкие,1
хижины,1
наконец-то,1
поем,1
души,1
этими,1
словами,1
первой,1
небольшой,1
соломенной,1
хижине,1
недолго,1
думая,1
зарычал,1
таким,1
громким,1
страшным,1
голосом,1
соломинок,1
вмиг,1
слетели,1
маленький,1
открывай,1
расхрабрившийся,1
думал,1
открывать,1
тогда,1
изо,1
сил,1
та,1
взяла,1
сразу,1
разлетелась,1
сторонам,1
охнуть,1
успел,1
неожиданности,1
испуга,1
быстро-быстро,1
своему,1
среднему,1
брату,1
погнался,1
за,1
ним,1
-,1
открывайте,1
меня,1
скрыться,1
дрожали,1
страха,1
совершенно,1
знали,1
делать,1
два,1
братца,1
выскочили,1
побежали,1
домику,1
младшенького,1
копытца,1
сверкали,1
конечно,1
впустил,1
своих,1
братьев,1
задвинул,1
засов,1
тяжелой,1
двери,1
хоть,1
помогали,1
строить,1
всё,1
были,1
его,1
братьями,1
их,1
любил,1
заставил,1
себя,1
долго,1
ждать,1
окошко,1
троих,1
жутко,1
обрадовался,1
сегодня,1
останусь,1
голодным,1
ухмылялся,1
сколько,1
бедняга,1
дул,1
стучал,1
стоял,1
крепко,1
полез,1
крышу,1
залез,1
попасть,1
внутрь,1
съесть,1
пролетев,1
трубе,1
угодил,1
котел,1
кипящей,1
водой,1
собирался,1
приготовить,1
ужин,1
ошпарился,1
вылетел,1
обратно,1
улицу,1
побродив,1
немного,1
опустевшей,1
все,1
ещё,1
голодному,1
волку,1
больше,1
оставалось,1
убежать,1
лес,1
поджав,1
хвост,1
прожили,1
всю,1
зиму,1
теплом,1
уютном,1
домике,1
дружные,1
ребята,1
горе,1
беда,1
будут,1
вместе,1
навсегда,1
